('https://image1.ljcdn.com/440100-inspection/d69973c2-6a7e-47f9-9a0b-a5ddab1a5473.jpg.296x216.jpg', '中海金沙馨园 精装三房 交通便利', '中海金沙馨园二期  | 3室2厅 | 99平米 | 北 | 其他 | 有电梯', '高楼层(共18层)2008年建塔楼  -  金沙洲', '325万', '单价32829元/平米')
('https://image1.ljcdn.com/440100-inspection/ec4cbece-5168-4408-bd7f-8b6736e98b13.jpg.296x216.jpg', '景泰新村 格局方正 实用两房', '景泰新村景泰直街  | 2室1厅 | 67平米 | 南 | 简装 | 无电梯', '中楼层(共8层)2008年建塔楼  -  广园路', '260万', '单价38806元/平米')
('https://image1.ljcdn.com/440100-inspection/452fae8a-a208-448f-8193-d2d70f92bcfd.jpg.296x216.jpg', '恒骏花园 电梯两房 望花园 采光充足', '恒骏花园  | 2室2厅 | 71.19平米 | 东北 | 简装 | 有电梯', '中楼层(共9层)2002年建塔楼  -  同和', '290万', '单价40737元/平米')
('https://image1.ljcdn.com/440100-inspection/8e9ff3df-c248-4c15-9c17-9ec9e4c28b85.jpg.296x216.jpg', '大院管理  南北对流  方正实用', '农工商宿舍  | 3室2厅 | 106平米 | 南 北 | 其他', '高楼层(共7层)1998年建塔楼  -  同和', '330万', '单价31133元/平米')
('https://image1.ljcdn.com/440100-inspection/85ff2364-a10f-4314-a781-68a61c4cf6d4.jpg.296x216.jpg', '广州富力城 高层 东南向 大三房', '富力城  | 3室2厅 | 111.07平米 | 东南 | 其他 | 有电梯', '高楼层(共18层)2005年建塔楼  -  白云大道北', '368万', '单价33133元/平米')
('https://image1.ljcdn.com/440100-inspection/6f0b70a4-11f1-4403-a2d6-34ecf1c1e0a3.jpg.296x216.jpg', '同和时代花生 户型方正 安静望花园', '时代花生Ⅱ  | 4室2厅 | 98平米 | 东北 | 其他', '低楼层(共32层)塔楼  -  同和', '420万', '单价42858元/平米')
('https://image1.ljcdn.com/440100-inspection/14396720-7dad-48d0-8bcd-0d847d7a3ae9.jpg.296x216.jpg', '广州富力城 望花园大三房 保养不错', '富力城  | 3室2厅 | 115.17平米 | 西南 | 精装 | 有电梯', '低楼层(共18层)2005年建塔楼  -  白云大道北', '351.3万', '单价30501元/平米')
('https://image1.ljcdn.com/440100-inspection/31ff3471-cf58-4730-8d94-f4a371f1990e.jpg.296x216.jpg', '紫薇花园 实用三房 格局方正 南北对流', '紫薇花园  | 3室1厅 | 110平米 | 南 北 | 简装 | 有电梯', '高楼层(共11层)2006年建塔楼  -  新市', '440万', '单价40000元/平米')
('https://image1.ljcdn.com/440100-inspection/6d735af9-6b74-448f-88da-9d24f5bddd97.jpg.296x216.jpg', '托斯卡纳 中高层 实用三房', '托斯卡纳  | 3室2厅 | 113.25平米 | 东北 | 精装 | 有电梯', '高楼层(共12层)2009年建塔楼  -  南湖', '400万', '单价35321元/平米')
('https://image1.ljcdn.com/440100-inspection/e46b45c6-c1fd-436d-aad5-15e4f51b166b.jpg.296x216.jpg', '格局方正 低楼层 采光好', '馨雅居  | 1室0厅 | 33.17平米 | 南 | 其他 | 无电梯', '低楼层(共3层)2008年建塔楼  -  石井', '65万', '单价19597元/平米')
('https://image1.ljcdn.com/440100-inspection/e8e43e0a-6493-4b25-b766-f524331b93c9.jpg.296x216.jpg', '尚山佳境 3室1厅 530万', '尚山佳境  | 3室1厅 | 112.8平米 | 南 | 其他 | 有电梯', '低楼层(共9层)2006年建塔楼  -  大金钟', '530万', '单价46986元/平米')
('https://image1.ljcdn.com/440100-inspection/223d508b-e65e-49ec-951f-9794d31f226f.jpg.296x216.jpg', '风度路 中高层两房 家私齐 随时入住', '半导体器件厂宿舍  | 2室1厅 | 64.81平米 | 东北 | 简装 | 无电梯', '高楼层(共6层)1995年建塔楼  -  石井', '125万', '单价19288元/平米')
('https://image1.ljcdn.com/440100-inspection/ca8b585f-8674-4cbb-930f-31c4a8840d2a.jpg.296x216.jpg', '竹园小区 实用两房', '竹园小区  | 2室2厅 | 70平米 | 南 | 其他 | 无电梯', '中楼层(共9层)1995年建塔楼  -  白云大道南', '200万', '单价28572元/平米')
('https://image1.ljcdn.com/440100-inspection/a324ab8f-b1ce-4257-b939-d417f680fab5.jpg.296x216.jpg', '牛利岗公安宿舍 大两房 采光好 方便看房', '牛利岗公安宿舍  | 2室1厅 | 79.79平米 | 西北 | 简装 | 无电梯', '高楼层(共9层)1999年建塔楼  -  沙太南', '220万', '单价27573元/平米')
('https://image1.ljcdn.com/440100-inspection/7681ba39-6642-4dcb-846b-2803f1d2c462.jpg.296x216.jpg', '荔苑公寓 方正采光好 实用三房', '荔苑公寓  | 3室2厅 | 106.66平米 | 东 西 | 其他 | 无电梯', '中楼层(共8层)2000年建塔楼  -  南湖', '180万', '单价16877元/平米')
('https://image1.ljcdn.com/440100-inspection/9cd9b1de-126a-4b87-8a96-40deb071c8b0.jpg.296x216.jpg', '广州富力城 五房两厅两卫 格局正 望花园', '富力城  | 5室2厅 | 174.44平米 | 西北 | 其他 | 有电梯', '高楼层(共17层)2010年建塔楼  -  白云大道北', '575.5万', '单价32992元/平米')
('https://image1.ljcdn.com/440100-inspection/aaeffec2-e305-4ef8-a552-dfebe020142c.JPG.296x216.jpg', '汇侨路 利都大厦 电梯1房 可落户', '利都大厦  | 1室1厅 | 40.23平米 | 东 | 其他 | 有电梯', '中楼层(共8层)1999年建塔楼  -  新市', '100万', '单价24858元/平米')
('https://image1.ljcdn.com/440100-inspection/26ae19cc-4ce5-4e67-96ac-5c19885d9400.jpg.296x216.jpg', '富力半岛花园 精装两房', '富力半岛花园  | 2室1厅 | 67.84平米 | 东北 | 精装 | 有电梯', '低楼层(共33层)2005年建塔楼  -  罗冲围', '246万', '单价36262元/平米')
('https://image1.ljcdn.com/440100-inspection/d215255a-b716-4b2e-969d-aef45a2f2ffe.JPG.296x216.jpg', '汉苑大厦 3室2厅 258万', '汉苑大厦  | 3室2厅 | 79.78平米 | 南 | 其他 | 无电梯', '高楼层(共9层)1995年建塔楼  -  机场路', '258万', '单价32339元/平米')
('https://image1.ljcdn.com/440100-inspection/dd52ce2e-e7b6-4ff0-ba58-a2bb00f7b21c.jpg.296x216.jpg', '云西小区 高层两房 采光通风 小区管理 有钥匙', '云西小区云西一街  | 2室1厅 | 54.61平米 | 北 | 其他 | 无电梯', '高楼层(共8层)1996年建塔楼  -  广园路', '155万', '单价28384元/平米')
('https://image1.ljcdn.com/440100-inspection/3579eed4-a2b8-4151-b02f-d6f51604706d.jpg.296x216.jpg', '白云高尔夫花园东区 3室2厅 513万', '白云高尔夫花园东区  | 3室2厅 | 125.26平米 | 西北 北 | 其他 | 有电梯', '低楼层(共14层)2002年建塔楼  -  黄石路', '513万', '单价40955元/平米')
('https://image1.ljcdn.com/440100-inspection/14c96740-4dc0-4414-8e25-4fe690898fa3.jpg.296x216.jpg', '富力半岛花园 3室1厅 235万', '富力半岛花园  | 3室1厅 | 78.55平米 | 东南 | 其他 | 无电梯', '高楼层(共7层)1998年建塔楼  -  罗冲围', '235万', '单价29918元/平米')
('https://image1.ljcdn.com/440100-inspection/a07c435e-3214-4777-87cc-a41fd0fd4e80.JPG.296x216.jpg', '白沙新村 3室2厅 180万', '白沙新村  | 3室2厅 | 89.98平米 | 东南 | 简装 | 无电梯', '高楼层(共9层)1998年建塔楼  -  机场路', '180万', '单价20005元/平米')
('https://image1.ljcdn.com/440100-inspection/c22025f9-d4ba-4dbf-bbad-cd3e89f37668.jpg.296x216.jpg', '云景花园云景苑 2室2厅 360万', '云景花园云景苑  | 2室2厅 | 94.07平米 | 南 | 其他 | 无电梯', '高楼层(共7层)2002年建塔楼  -  同和', '360万', '单价38270元/平米')
('https://image1.ljcdn.com/440100-inspection/a5d05e49-d063-4e75-b0d9-d7b84aadbf59.jpg.296x216.jpg', '依云小镇 4室2厅 580万', '依云小镇  | 4室2厅 | 161.98平米 | 南 | 其他 | 有电梯', '低楼层(共18层)2009年建塔楼  -  白云大道北', '580万', '单价35807元/平米')
('https://image1.ljcdn.com/440100-inspection/c7c2b22a-e3e3-4024-b427-3453d0261ba8.JPG.296x216.jpg', '增乐楼 3室1厅 170万', '增乐楼  | 3室1厅 | 52.28平米 | 西北 | 其他 | 无电梯', '低楼层(共9层)1995年建塔楼  -  罗冲围', '170万', '单价32518元/平米')
('https://image1.ljcdn.com/440100-inspection/4041b2bf-7698-4215-89f0-2afaeb06dd03.jpg.296x216.jpg', '白沙新村 正规两房 户型方正', '白沙新村  | 2室1厅 | 60.68平米 | 东南 | 简装 | 无电梯', '高楼层(共9层)1998年建塔楼  -  机场路', '153万', '单价25215元/平米')
('https://image1.ljcdn.com/440100-inspection/c00a65d5-3f88-40d1-a1f4-acbeccca1340.jpg.296x216.jpg', '民航小区绿化小区 2室2厅 328万', '民航小区绿化小区  | 2室2厅 | 80.19平米 | 北 | 其他 | 有电梯', '中楼层(共14层)1995年建塔楼  -  机场路', '328万', '单价40903元/平米')
('https://image1.ljcdn.com/440100-inspection/19391bac-bcd5-4cbd-9593-586ccc4b960e.jpg.296x216.jpg', '民航小区松云街 2室2厅 160万', '民航小区松云街  | 2室2厅 | 61平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1995年建板楼  -  机场路', '160万', '单价26230元/平米')
('https://image1.ljcdn.com/440100-inspection/ab779fff-152a-4a04-93aa-58816a96caf9.jpg.296x216.jpg', '广州富力城 实用正3房 南向阳光充足 通风对流', '广州富力城  | 3室2厅 | 93.72平米 | 南 | 精装 | 有电梯', '低楼层(共12层)2008年建塔楼  -  白云大道北', '315万', '单价33611元/平米')
('https://image1.ljcdn.com/440100-inspection/29fccb4c-c8f2-4c25-80ce-ae1ffd90f1d1.jpg.296x216.jpg', '民航小区 精装修三房 万达正旁边 格局正', '民航小区向云新街  | 3室1厅 | 73平米 | 北 | 精装 | 有电梯', '低楼层(共10层)1995年建塔楼  -  白云大道南', '268万', '单价36713元/平米')
('https://image1.ljcdn.com/440100-inspection/f6a30e46-c1e1-45aa-b0c9-d9baafcac594.JPG.296x216.jpg', '心谊路 南北对流 超大客厅 舒适三房 格局方正', '心谊路派出所宿舍  | 3室2厅 | 98.78平米 | 南 | 精装 | 无电梯', '高楼层(共9层)1997年建塔楼  -  机场路', '260万', '单价26322元/平米')
('https://image1.ljcdn.com/440100-inspection/cfd11e1a-cc58-4809-89fb-8a4d3533ff8a.jpg.296x216.jpg', '白兰花园 中层两房 南向 厅出阳台 采光好', '广信白兰花园  | 2室2厅 | 72.78平米 | 南 | 精装 | 无电梯', '中楼层(共9层)1998年建塔楼  -  广园路', '245万', '单价33664元/平米')
('https://image1.ljcdn.com/440100-inspection/98d94306-03d9-4527-bb36-6703c2bb6be0.jpg.296x216.jpg', '白云尚城 2室2厅 330万', '白云尚城  | 2室2厅 | 78.36平米 | 东 | 其他 | 无电梯', '高楼层(共6层)2010年建塔楼  -  白云大道北', '330万', '单价42114元/平米')
('https://image1.ljcdn.com/440100-inspection/7aa6f1e4-c9e5-48c3-b004-b045faf2d29d.JPG.296x216.jpg', '嘉景园 2室1厅 126万', '嘉景园  | 2室1厅 | 60.27平米 | 南 | 简装 | 无电梯', '高楼层(共9层)1997年建塔楼  -  新市', '126万', '单价20906元/平米')
('https://image1.ljcdn.com/440100-inspection/a36386b7-77f8-4c15-a59e-4d12c74824fa.jpg.296x216.jpg', '云山居 2室2厅 260万', '云山居  | 2室2厅 | 84.41平米 | 北 | 其他 | 无电梯', '中楼层(共5层)2000年建塔楼  -  白云山风景区', '260万', '单价30803元/平米')
('https://image1.ljcdn.com/440100-inspection/803e4c92-f975-4d43-91c9-f91ab34cb12f.jpg.296x216.jpg', '南湖半山东苑 精装三房 户型方正', '南湖半山东苑  | 3室2厅 | 96.82平米 | 西北 | 其他 | 有电梯', '低楼层(共26层)2005年建塔楼  -  南湖', '280万', '单价28920元/平米')
('https://image1.ljcdn.com/440100-inspection/0c0d4ce6-a2f2-4b6e-a8dc-a63a6c336190.jpg.296x216.jpg', '泽德花园 2室1厅 175万', '泽德花园  | 2室1厅 | 54.71平米 | 南 | 简装 | 无电梯', '低楼层(共9层)1998年建塔楼  -  同德围', '175万', '单价31987元/平米')
('https://image1.ljcdn.com/440100-inspection/9733d258-67a7-4b57-8ae6-5195610ca12c.JPG.296x216.jpg', '景云路 3室1厅 238万', '景云路  | 3室1厅 | 70.6平米 | 东 西 | 精装 | 有电梯', '中楼层(共9层)1993年建塔楼  -  大金钟', '238万', '单价33712元/平米')
('https://image1.ljcdn.com/440100-inspection/772b6def-df6b-4eba-9ee7-d85c62fad1d3.jpg.296x216.jpg', '新兴白云花园乐居南街 2室2厅 210万', '新兴白云花园乐居南街  | 2室2厅 | 70.82平米 | 东 | 简装 | 无电梯', '高楼层(共9层)1999年建塔楼  -  白云大道北', '210万', '单价29653元/平米')
('https://image1.ljcdn.com/440100-inspection/3196eb4b-0413-46cf-b562-c87de19b3e18.JPG.296x216.jpg', '三元里大道中医院宿舍 2室1厅 170万', '三元里大道中医院宿舍  | 2室1厅 | 60.26平米 | 南 | 精装 | 无电梯', '中楼层(共9层)1995年建塔楼  -  机场路', '170万', '单价28212元/平米')
('https://image1.ljcdn.com/440100-inspection/77f1bb49-e301-4356-b869-5e3be20ac5e0.jpg.296x216.jpg', '云景花园云桦苑 4室2厅 485万', '云景花园云桦苑  | 4室2厅 | 118.74平米 | 南 | 其他 | 有电梯', '高楼层(共10层)2002年建塔楼  -  同和', '485万', '单价40846元/平米')
('https://image1.ljcdn.com/440100-inspection/test-7ab347e3-54b9-489c-a9d3-4e3ec966c092.png.296x216.jpg', '岭南新世界 望花园大三房', '岭南新世界  | 3室2厅 | 120.27平米 | 东北 | 其他 | 有电梯', '中楼层(共18层)2008年建塔楼  -  白云大道北', '580万', '单价48225元/平米')
('https://image1.ljcdn.com/440100-inspection/9278513c-5dbb-4b97-9793-b51a668ad761.jpg.296x216.jpg', '华兴苑小区 实用两房 格局方正 厅出阳台', '华兴苑  | 2室2厅 | 81.06平米 | 北 | 其他', '高楼层(共9层)塔楼  -  广园路', '265万', '单价32692元/平米')
('https://image1.ljcdn.com/440100-inspection/61434d64-b1a9-45b0-b046-e62e526963b3.jpg.296x216.jpg', '大金钟路 中层三房 生活便利', '大金钟路  | 2室2厅 | 85平米 | 南 北 | 其他 | 无电梯', '高楼层(共5层)1995年建板楼  -  大金钟', '247万', '单价29059元/平米')
('https://image1.ljcdn.com/440100-inspection/7465c0b3-03f4-4b39-9537-b05b3243dacc.jpg.296x216.jpg', '云苑新村 方正一房 采光通风 中低楼层修', '广园云苑新村  | 1室0厅 | 32.21平米 | 南 | 其他 | 无电梯', '低楼层(共9层)1999年建塔楼  -  广园路', '90万', '单价27942元/平米')
('https://image1.ljcdn.com/440100-inspection/39f8fd8f-d0d3-4ea5-8fff-ddafb3878ae1.JPG.296x216.jpg', '景泰新村 一房一厅 地段成熟 交通便利', '景泰新村景泰西七巷  | 1室1厅 | 35.44平米 | 东南 | 其他 | 无电梯', '高楼层(共7层)2008年建塔楼  -  广园路', '102万', '单价28782元/平米')
('https://image1.ljcdn.com/440100-inspection/e3ffcb58-a629-478f-8302-191dd2d5714f.jpg.296x216.jpg', '擎山苑 电梯一房 安静看花园 交通方便', '擎山苑  | 1室1厅 | 47.82平米 | 西南 | 其他 | 有电梯', '低楼层(共15层)2005年建塔楼  -  同和', '150万', '单价31368元/平米')
('https://image1.ljcdn.com/440100-inspection/3dbb132a-0ba9-4bf4-9356-c1dbfa962612.jpg.296x216.jpg', '怡新花园 安静三房两厅', '怡新花园  | 3室2厅 | 116平米 | 东南 | 精装 | 有电梯', '高楼层(共12层)2007年建塔楼  -  同和', '498万', '单价42932元/平米')
('https://image1.ljcdn.com/440100-inspection/e225be24-9a43-4e73-a426-e75da6e7b3ca.jpg.296x216.jpg', '富力桃园 中层温馨2房 东西对流 通风采光好', '富力桃园  | 2室2厅 | 76平米 | 西南 | 其他 | 有电梯', '中楼层(共32层)2004年建塔楼  -  罗冲围', '270万', '单价35527元/平米')
('https://image1.ljcdn.com/440100-inspection/08bdc4fb-108a-4353-a59a-5c6802964592.jpg.296x216.jpg', '云山诗意 四房两厅两卫 装修保养好  两个房产证，', '云山诗意  | 4室2厅 | 64.66平米 | 东南 | 其他 | 有电梯', '中楼层(共18层)2008年建塔楼  -  白云大道北', '297.5万', '单价46001元/平米')
('https://image1.ljcdn.com/440100-inspection/b672add8-951d-485b-949a-e7bf56baa9f7.jpg.296x216.jpg', '岭南新世界 2室2厅 340万', '岭南新世界  | 2室2厅 | 76.65平米 | 北 | 其他 | 有电梯', '中楼层(共9层)2008年建塔楼  -  白云大道北', '340万', '单价44358元/平米')
('https://image1.ljcdn.com/440100-inspection/c23e2068-02a1-4c72-8dcf-e5cc6563ebfe.jpg.296x216.jpg', '卡布奇诺 2室1厅 225万', '卡布奇诺  | 2室1厅 | 61.97平米 | 南 | 其他', '中楼层(共7层)2012年建塔楼  -  南湖', '225万', '单价36308元/平米')
('https://image1.ljcdn.com/440100-inspection/418a1915-253a-42ec-9f4f-d95f4173e3c4.jpg.296x216.jpg', '紫荆花园 2室1厅 210万', '紫荆花园  | 2室1厅 | 61.9平米 | 南 北 | 其他 | 有电梯', '高楼层(共11层)2000年建塔楼  -  新市', '210万', '单价33926元/平米')
('https://image1.ljcdn.com/440100-inspection/21fae5e4-0af8-4d05-8b8d-df566ca9da7c.jpg.296x216.jpg', '云天翠庭 电梯两房 家私电齐', '云天翠庭  | 2室1厅 | 76.93平米 | 南 | 简装 | 有电梯', '中楼层(共11层)2004年建塔楼  -  机场路', '310万', '单价40297元/平米')
('https://image1.ljcdn.com/440100-inspection/b1430d9b-4f5f-4581-a2d6-7bcce61d89ca.jpg.296x216.jpg', '汇侨新城 低层两房', '汇侨新城东区  | 2室1厅 | 73.62平米 | 西南 | 其他 | 无电梯', '低楼层(共9层)2000年建塔楼  -  新市', '268万', '单价36404元/平米')
('https://image1.ljcdn.com/440100-inspection/718dd17c-1d85-45ff-be11-132c86365a7e.jpg.296x216.jpg', '盈翠华庭 低层两房 带平台 居家适宜', '盈翠华庭  | 2室1厅 | 67.89平米 | 西 | 精装 | 无电梯', '低楼层(共7层)2001年建塔楼  -  广园路', '285万', '单价41980元/平米')
('https://image1.ljcdn.com/440100-inspection/87f3cf8a-59d3-4afc-a32e-947b2f4c53af.jpg.296x216.jpg', '香柏广场 实用一房', '恒骏花园香柏广场  | 1室1厅 | 56平米 | 西南 | 其他 | 有电梯', '高楼层(共30层)2010年建塔楼  -  同和', '310万', '单价55358元/平米')
('https://image1.ljcdn.com/440100-inspection/f4701ba7-d59d-4ec5-b284-8c17eb767da1.jpg.296x216.jpg', '汇侨新城  一房一厅 采光通风好', '汇侨新城东区  | 1室1厅 | 45.51平米 | 西 | 精装 | 无电梯', '高楼层(共9层)2000年建塔楼  -  新市', '103万', '单价22633元/平米')
('https://image1.ljcdn.com/440100-inspection/b9231e13-ea68-4085-86d9-1cf32dc0b213.JPG.296x216.jpg', '岭南雅院 电梯楼 舒适两房 送平台花园', '岭南雅院  | 2室1厅 | 76.15平米 | 东南 | 其他 | 有电梯', '低楼层(共14层)2008年建塔楼  -  同德围', '290万', '单价38083元/平米')
('https://image1.ljcdn.com/440100-inspection/faa6cc89-67e6-4ef0-9057-566ba1c5dc7d.jpg.296x216.jpg', '机场路 又一居 正规三房 户型方正', '又一居花园  | 3室1厅 | 95平米 | 北 | 其他 | 有电梯', '中楼层(共9层)1998年建塔楼  -  机场路', '370万', '单价38948元/平米')
('https://image1.ljcdn.com/440100-inspection/c20f6364-5723-454c-a1a0-6ab0ebb322ad.jpg.296x216.jpg', '祥华阁 电梯两房 视野采光好', '祥华阁  | 2室1厅 | 65.62平米 | 北 | 其他 | 有电梯', '高楼层(共9层)2009年建塔楼  -  黄石路', '205万', '单价31241元/平米')
('https://image1.ljcdn.com/440100-inspection/5daf35d1-222d-487f-80ef-28dfb4144f79.jpg.296x216.jpg', '保利西子湾 南向两房 户型方正实用', '保利西子湾  | 2室1厅 | 81.61平米 | 南 | 其他 | 有电梯', '高楼层(共11层)2007年建塔楼  -  金沙洲', '272万', '单价33330元/平米')
