('https://image1.ljcdn.com/440100-inspection/36abca9a-dbc8-4db3-8b5c-20f0a1dc5886.jpg.296x216.jpg', '嘉鸿花园金玫瑰园 2室1厅 288万', '嘉鸿花园金玫瑰园  | 2室1厅 | 69.35平米 | 东南 | 其他 | 有电梯', '中楼层(共19层)1999年建塔楼  -  金碧', '288万', '单价41529元/平米')
('https://image1.ljcdn.com/440100-inspection/7e39ba2a-133b-4303-bee7-25c20ece1999.JPG.296x216.jpg', '海天花苑  温馨实用两房 业主诚意出售', '海天花苑  | 2室2厅 | 79.8平米 | 东 | 精装 | 有电梯', '中楼层(共35层)2004年建塔楼  -  滨江东', '328万', '单价41103元/平米')
('https://image1.ljcdn.com/440100-inspection/f5efedbe-a60e-4123-b5c1-5ab95ac76a04.JPG.296x216.jpg', '江南西路紫山大街 2室1厅 290万', '江南西路紫山大街  | 2室1厅 | 68.28平米 | 东 | 其他 | 无电梯', '中楼层(共8层)塔楼  -  江南西', '290万', '单价42473元/平米')
('https://image1.ljcdn.com/440100-inspection/8a0598d5-de05-42e8-8f36-9c1edda64862.JPG.296x216.jpg', '瑞康大厦 2室1厅 205万', '瑞康大厦  | 2室1厅 | 76.13平米 | 北 | 其他 | 无电梯', '中楼层(共9层)1997年建塔楼  -  新港西', '205万', '单价26928元/平米')
('https://image1.ljcdn.com/440100-inspection/255943fa-596b-437b-a669-c2e6a77b89bb.JPG.296x216.jpg', '瑞康大厦 3室1厅 218万', '瑞康大厦  | 3室1厅 | 84.07平米 | 北 | 其他 | 无电梯', '中楼层(共9层)1997年建塔楼  -  新港西', '218万', '单价25931元/平米')
('https://image1.ljcdn.com/440100-inspection/cf1b125a-3c27-484a-8e18-4cb6201e4d72.jpg.296x216.jpg', '金碧二期 厅出阳台 高层光线视野好', '金碧花园第二金碧  | 2室2厅 | 66.15平米 | 北 | 精装 | 有电梯', '高楼层(共33层)2000年建塔楼  -  金碧', '270万', '单价40817元/平米')
('https://image1.ljcdn.com/440100-inspection/91f59cd9-6fb6-499b-bcde-175972bf8c09.jpg.296x216.jpg', '雅郡花园 南向两房 保养好', '雅郡花园  | 2室2厅 | 85.71平米 | 南 | 简装 | 有电梯', '中楼层(共12层)2003年建塔楼  -  琶洲', '540万', '单价63004元/平米')
('https://image1.ljcdn.com/440100-inspection/e240ad24-60fe-4022-9ea3-671930f2cd18.jpg.296x216.jpg', '富基广场 东向两房 户型方正 装修保养好', '富基广场  | 2室1厅 | 86.15平米 | 东 | 其他 | 有电梯', '低楼层(共34层)2007年建塔楼  -  滨江中', '473万', '单价54905元/平米')
('https://image1.ljcdn.com/440100-inspection/ecb51d24-617a-48cd-8eb2-7cb22150c634.JPG.296x216.jpg', '江南西路紫来大街 2室1厅 160万', '江南西路紫来大街  | 2室1厅 | 44平米 | 东 | 简装 | 无电梯', '低楼层(共6层)板楼  -  江南大道', '160万', '单价36364元/平米')
('https://image1.ljcdn.com/440100-inspection/d4ca3d21-cc0c-4c36-a0e9-164a1fa56909.jpg.296x216.jpg', '金碧花园 方正实用大单间 采光通风好', '金碧花园第一金碧  | 1室0厅 | 30.44平米 | 东 | 简装 | 有电梯', '低楼层(共26层)2000年建塔楼  -  金碧', '130万', '单价42707元/平米')
('https://image1.ljcdn.com/440100-inspection/55f85b5e-7217-414c-9c66-40438d1c1300.jpg.296x216.jpg', '海天花苑 温馨小两房', '海天花苑  | 2室1厅 | 51.82平米 | 北 | 简装 | 有电梯', '低楼层(共35层)2004年建塔楼  -  滨江东', '208万', '单价40139元/平米')
('https://image1.ljcdn.com/440100-inspection/02488796-048c-4775-af88-ccf1826a49b1.jpg.296x216.jpg', '利安花园 实用舒适单位 配套完善', '利安花园  | 2室1厅 | 65.43平米 | 东 | 简装 | 无电梯', '低楼层(共9层)1997年建塔楼  -  滨江东', '280万', '单价42794元/平米')
('https://image1.ljcdn.com/440100-inspection/67e9afbb-f099-4e52-be60-8c3e00b1bd97.jpg.296x216.jpg', '晓燕湾 纯电梯 南向两房 户型方正', '晓燕湾  | 2室1厅 | 66.54平米 | 南 | 精装 | 无电梯', '高楼层(共10层)1999年建塔楼  -  江燕路', '298万', '单价44786元/平米')
('https://image1.ljcdn.com/440100-inspection/adf6a5f0-2dbc-4c58-957a-6d94ce4d1a06.jpg.296x216.jpg', '利安花园 3室1厅 430万', '利安花园  | 3室1厅 | 87平米 | 东南 | 简装 | 无电梯', '中楼层(共9层)1997年建塔楼  -  滨江东', '430万', '单价49426元/平米')
('https://image1.ljcdn.com/440100-inspection/fbc84b99-0750-4a14-a949-3a78a53a5b79.jpg.296x216.jpg', '刚需小户型 格局方正 楼层漂亮', '金碧花园第一金碧  | 1室1厅 | 34.76平米 | 东 | 简装 | 有电梯', '高楼层(共26层)2000年建塔楼  -  金碧', '160万', '单价46030元/平米')
('https://image1.ljcdn.com/440100-inspection/96484d72-5ae9-4605-b1dc-2d1c85ed197d.jpg.296x216.jpg', '影城花园 电梯南向两房 安静不吵', '影城花园  | 2室1厅 | 72平米 | 南 | 精装 | 有电梯', '低楼层(共27层)2003年建塔楼  -  赤岗', '310万', '单价43056元/平米')
('https://image1.ljcdn.com/440100-inspection/7a05b3e2-5d6a-4dc6-9e01-09edccdf8212.jpg.296x216.jpg', 's尚领时代 3房', '尚领时代  | 3室1厅 | 94平米 | 北 | 精装 | 有电梯', '中楼层(共19层)2006年建塔楼  -  金碧', '420万', '单价44681元/平米')
('https://image1.ljcdn.com/440100-inspection/6c92cfd9-647a-4753-b8b3-b88871227aeb.jpg.296x216.jpg', '翠城花园 2室2厅 355万', '翠城花园  | 2室2厅 | 76.97平米 | 东南 | 其他 | 有电梯', '中楼层(共29层)2009年建塔楼  -  江燕路', '355万', '单价46122元/平米')
('https://image1.ljcdn.com/440100-inspection/3f702018-dd13-478c-99a5-631f38ac308b.jpg.296x216.jpg', '金碧花园二期 温馨两房', '金碧花园第二金碧  | 2室1厅 | 60.55平米 | 南 | 精装 | 有电梯', '中楼层(共33层)2000年建塔楼  -  金碧', '255万', '单价42114元/平米')
('https://image1.ljcdn.com/440100-inspection/d7b7da59-bf52-4ce9-bb49-bffce3ad89d9.jpg.296x216.jpg', '保利花园 实用单位 四房两厅 交通便利', '保利花园  | 4室2厅 | 141.18平米 | 南 | 简装 | 有电梯', '中楼层(共23层)2000年建塔楼  -  工业大道中', '618万', '单价43774元/平米')
('https://image1.ljcdn.com/440100-inspection/8da771dc-425c-49dc-b546-dc4d17380eba.jpg.296x216.jpg', '金碧花园第一金碧 2室1厅 265万', '金碧花园第一金碧  | 2室1厅 | 66.07平米 | 南 | 简装 | 有电梯', '中楼层(共15层)2000年建塔楼  -  金碧', '265万', '单价40109元/平米')
('https://image1.ljcdn.com/440100-inspection/d1fa91d3-9605-47c7-8250-484148885d57.jpg.296x216.jpg', '嘉汇华庭 大一房，花园小区，配套齐全', '嘉汇华庭  | 1室1厅 | 56平米 | 东北 | 其他 | 有电梯', '低楼层(共31层)2003年建塔楼  -  前进路', '240万', '单价42858元/平米')
('https://image1.ljcdn.com/440100-inspection/8c6c995d-0d1d-4c9c-bb5e-e64ecc78f3e1.JPG.296x216.jpg', '海富花园 3室1厅 500万', '海富花园  | 3室1厅 | 93平米 | 东南 | 其他 | 有电梯', '高楼层(共10层)2006年建塔楼  -  江燕路', '500万', '单价53764元/平米')
('https://image1.ljcdn.com/440100-inspection/2620b931-54a5-47bc-aa30-1cd5eb2ede02.jpg.296x216.jpg', '琴海居 3室2厅 690万', '琴海居  | 3室2厅 | 106平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2004年建塔楼  -  滨江东', '690万', '单价65095元/平米')
('https://image1.ljcdn.com/440100-inspection/320f738c-e37c-4e44-a684-ed3bc0c41fcd.jpg.296x216.jpg', '聚德花园 电梯南向两房一厅 诚意出售', '聚德花园  | 2室1厅 | 67平米 | 南 | 简装 | 无电梯', '高楼层(共9层)1997年建塔楼  -  赤岗', '238万', '单价35523元/平米')
('https://image1.ljcdn.com/440100-inspection/914961ad-eb76-4b37-8a94-5373c3f9914e.JPG.296x216.jpg', '康泰花园 3室2厅 255万', '康泰花园  | 3室2厅 | 89.94平米 | 东 西 | 简装 | 无电梯', '高楼层(共9层)1994年建塔楼  -  江燕路', '255万', '单价28353元/平米')
('https://image1.ljcdn.com/440100-inspection/64dcd31e-47f1-4f87-bb16-8705d43daa28.jpg.296x216.jpg', '龙景大厦 2室2厅 230万', '龙景大厦  | 2室2厅 | 64.46平米 | 南 | 其他 | 有电梯', '低楼层(共12层)2002年建塔楼  -  赤岗', '230万', '单价35682元/平米')
('https://image1.ljcdn.com/440100-inspection/71140572-d241-49e8-b767-fdac1e29ebf4.jpg.296x216.jpg', '心江南 电梯两房 中层单位', '心江南  | 2室1厅 | 71.26平米 | 南 | 精装 | 有电梯', '低楼层(共30层)2009年建塔楼  -  江燕路', '285万', '单价39995元/平米')
('https://image1.ljcdn.com/440100-inspection/test-cbe70143-4088-420a-ad1c-58c5727c5c18.png.296x216.jpg', '聚雅苑 温馨两房 南北对流 高层望中大', '聚雅苑  | 2室2厅 | 88平米 | 南 | 精装 | 有电梯', '中楼层(共21层)2006年建塔楼  -  滨江东', '490万', '单价55682元/平米')
('https://image1.ljcdn.com/440100-inspection/a28d6e92-1abc-49cc-a1c7-fbb379f1b7b6.jpg.296x216.jpg', '瑞宝花园 2室1厅 235万', '瑞宝花园  | 2室1厅 | 73.48平米 | 南 北 | 简装 | 无电梯', '低楼层(共9层)1997年建塔楼  -  金碧', '235万', '单价31982元/平米')
('https://image1.ljcdn.com/440100-inspection/c8a1c331-ca5c-454f-9090-518ddc23f6c0.jpg.296x216.jpg', '精致1房 高楼层 格局方正 地铁口', '金碧花园第一金碧  | 1室1厅 | 35平米 | 北 | 简装 | 有电梯', '高楼层(共22层)2000年建塔楼  -  金碧', '140万', '单价40000元/平米')
('https://image1.ljcdn.com/440100-inspection/eabb6692-fd28-4c44-a21c-96281a34c4d4.jpg.296x216.jpg', '光大花园榕上居 望花园单位', '光大花园  | 3室2厅 | 104.13平米 | 东 | 精装 | 有电梯', '高楼层(共33层)2003年建塔楼  -  工业大道北', '550万', '单价52819元/平米')
('https://image1.ljcdn.com/440100-inspection/c291f223-c25d-44bf-acf2-68453fe6281e.jpg.296x216.jpg', '印象琶洲公寓  70年产权精装修磨碟沙B出口15米', '印象琶洲公寓  | 1室1厅 | 65平米 | 北 | 简装', '低楼层(共15层)塔楼  -  琶洲', '350万', '单价53847元/平米')
('https://image1.ljcdn.com/440100-inspection/6dbb0d5f-ae95-477a-b8f8-dbe0e45c31f2.jpg.296x216.jpg', '石岗路 采光好 交通方便 户型方正', '石岗路  | 2室1厅 | 40.89平米 | 东南 | 简装 | 无电梯', '高楼层(共8层)塔楼  -  工业大道南', '95万', '单价23234元/平米')
('https://image1.ljcdn.com/440100-inspection/bf4fc8c3-a3f7-4447-9b69-9411a209f3af.jpg.296x216.jpg', '光大花园 3室2厅 520万', '光大花园  | 3室2厅 | 104.35平米 | 北 | 简装 | 有电梯', '低楼层(共11层)2002年建塔楼  -  工业大道北', '520万', '单价49833元/平米')
('https://image1.ljcdn.com/440100-inspection/ae88843e-d317-4229-bd7a-ada79a9ef238.jpg.296x216.jpg', '好景花园 3室2厅 520万', '好景花园  | 3室2厅 | 105平米 | 西北 | 简装 | 有电梯', '中楼层(共28层)1995年建塔楼  -  滨江东', '520万', '单价49524元/平米')
('https://image1.ljcdn.com/440100-inspection/e6124acc-e048-4a7f-9b0d-4da5de5cbe76.jpg.296x216.jpg', '晓港东一马路 中层 南向两房 准备装电梯', '晓港东一马路晓阳街  | 2室1厅 | 58平米 | 南 北 | 其他 | 无电梯', '高楼层(共9层)塔楼  -  新港西', '175万', '单价30173元/平米')
('https://image1.ljcdn.com/440100-inspection/b944ab1a-d976-4b69-b7af-950922f4dfd7.jpg.296x216.jpg', '第三金碧 高层南向三居 视野开阔', '金碧花园第三金碧  | 3室2厅 | 127.52平米 | 南 | 精装 | 有电梯', '高楼层(共32层)2000年建塔楼  -  金碧', '529万', '单价41484元/平米')
('https://image1.ljcdn.com/440100-inspection/a777926e-b1ff-42fd-941c-269bbdd03678.jpg.296x216.jpg', '金碧花园二期 明厨明厕 厅出', '金碧花园第二金碧  | 2室2厅 | 66平米 | 北 | 其他 | 有电梯', '高楼层(共33层)2000年建塔楼  -  金碧', '270万', '单价40910元/平米')
('https://image1.ljcdn.com/440100-inspection/7e39e9a8-a140-44d3-bc8e-e61f344512c9.jpg.296x216.jpg', '富力现代广场 业主诚意出售', '富力现代广场  | 3室2厅 | 95平米 | 北 | 精装 | 有电梯', '高楼层(共18层)2004年建塔楼  -  工业大道北', '435万', '单价45790元/平米')
('https://image1.ljcdn.com/440100-inspection/dad86302-9b2a-4cd6-b1fb-68e247f04e1e.jpg.296x216.jpg', '和榕风景 少数户型2房 满五年看楼有钥匙', '光大花园和榕风景  | 2室1厅 | 71.35平米 | 北 | 精装 | 有电梯', '低楼层(共18层)2006年建塔楼  -  工业大道北', '418万', '单价58585元/平米')
('https://image1.ljcdn.com/440100-inspection/efe6c409-5eab-4b9f-97a1-64f5668389fc.jpg.296x216.jpg', '富景花园 标准三居室 格局方正', '富景花园  | 3室1厅 | 88平米 | 北 | 其他 | 有电梯', '中楼层(共32层)2003年建塔楼  -  新港西', '388万', '单价44091元/平米')
('https://image1.ljcdn.com/440100-inspection/56a6307d-1ec6-4938-b34f-c7f697bcbe32.jpg.296x216.jpg', '尚领时代 南向三房 装修保养好', '尚领时代  | 3室2厅 | 91.3平米 | 南 | 精装 | 有电梯', '中楼层(共19层)2006年建塔楼  -  金碧', '420万', '单价46003元/平米')
('https://image1.ljcdn.com/440100-inspection/03ef484a-2106-4a0b-b1d4-14e914741067.jpg.296x216.jpg', '翠馨华庭 复式两房 高层', '翠馨华庭  | 2室1厅 | 40.2平米 | 东南 | 简装 | 有电梯', '高楼层(共24层)2003年建塔楼  -  广州大道南', '180万', '单价44777元/平米')
('https://image1.ljcdn.com/440100-inspection/8ce18ab2-c346-4718-a3cf-1f49172fb51a.jpg.296x216.jpg', '翠馨华庭 实用大两房 精装修', '翠馨华庭  | 2室1厅 | 50平米 | 北 | 精装 | 有电梯', '低楼层(共24层)2003年建塔楼  -  广州大道南', '215万', '单价43000元/平米')
('https://image1.ljcdn.com/440100-inspection/9cb882a2-8154-4484-b468-985f1b8e2680.jpg.296x216.jpg', '乐居苑 2室1厅 208万', '乐居苑  | 2室1厅 | 64.14平米 | 南 | 精装 | 无电梯', '高楼层(共9层)1998年建塔楼  -  宝岗', '208万', '单价32430元/平米')
('https://image1.ljcdn.com/440100-inspection/6f3dcf2d-4c7a-4289-b5a7-5b9a8690a44f.jpg.296x216.jpg', '银威花园 低层两房 格局方正  配套成熟', '银威花园  | 2室1厅 | 56.86平米 | 北 | 简装 | 无电梯', '低楼层(共9层)1998年建塔楼  -  金碧', '160万', '单价28140元/平米')
('https://image1.ljcdn.com/440100-inspection/8cc07736-553a-46ed-ae1a-3e6381ddcf71.jpg.296x216.jpg', '光大花园 南向两房 阳台带大花园', '光大花园  | 2室1厅 | 80.52平米 | 东南 | 其他 | 有电梯', '低楼层(共11层)1998年建塔楼  -  工业大道北', '420万', '单价52161元/平米')
('https://image1.ljcdn.com/440100-inspection/788fde04-7489-4175-97f0-5f65046dc636.jpg.296x216.jpg', '鸡春岗 交通便利 配套完善 户型方正', '南边路鸡春岗新街  | 2室2厅 | 74.79平米 | 南 | 简装 | 无电梯', '低楼层(共10层)板楼  -  工业大道中', '200万', '单价26742元/平米')
('https://image1.ljcdn.com/440100-inspection/f6a6b8cb-1efc-4c7f-ab2e-d245f91710fd.JPG.296x216.jpg', '晓港东二马路，南向一房一厅，厅出阳台', '晓港东二马路  | 1室1厅 | 39.05平米 | 南 | 简装 | 无电梯', '高楼层(共6层)塔楼  -  新港西', '150万', '单价38413元/平米')
('https://image1.ljcdn.com/440100-inspection/0455f230-7a37-48a8-a2b8-7f205e204888.jpg.296x216.jpg', '聚德花园 中楼层 交通方便', '聚德花园  | 2室1厅 | 60.42平米 | 北 | 简装 | 无电梯', '中楼层(共9层)1995年建塔楼  -  赤岗', '208万', '单价34426元/平米')
('https://image1.ljcdn.com/440100-inspection/a69a1daa-3192-49ab-b623-212c168a1559.jpg.296x216.jpg', '金雅苑 南向户型 装修保养新净', '金雅苑  | 3室1厅 | 83.6平米 | 南 | 其他 | 有电梯', '高楼层(共13层)2001年建塔楼  -  滨江东', '460万', '单价55024元/平米')
('https://image1.ljcdn.com/440100-inspection/1f8f8715-59ed-4264-a5e9-96256de478ca.JPG.296x216.jpg', '富力尚溢居 2室2厅 450万', '富力尚溢居  | 2室2厅 | 77.34平米 | 北 | 精装 | 有电梯', '低楼层(共34层)2005年建塔楼  -  滨江东', '450万', '单价58185元/平米')
('https://image1.ljcdn.com/440100-inspection/6621c56f-52aa-439c-91a0-7bf9b352a9c4.JPG.296x216.jpg', '一棉大院 2室1厅 260万', '一棉大院  | 2室1厅 | 70.79平米 | 南 北 | 简装 | 无电梯', '中楼层(共8层)塔楼  -  滨江中', '260万', '单价36729元/平米')
('https://image1.ljcdn.com/440100-inspection/ae5c35d8-69cc-4ac5-a1b3-12a209ca9384.jpg.296x216.jpg', '海印南苑 2室2厅 320万', '海印南苑  | 2室2厅 | 62.6平米 | 南 | 精装 | 有电梯', '中楼层(共28层)2000年建塔楼  -  东晓路', '320万', '单价51119元/平米')
('https://image1.ljcdn.com/440100-inspection/7dbea3b6-87c5-4928-892a-a60c42116ff9.jpg.296x216.jpg', '翠城花园 3室2厅 505万', '翠城花园  | 3室2厅 | 100.76平米 | 西 | 简装 | 有电梯', '低楼层(共33层)2009年建塔楼  -  江燕路', '505万', '单价50120元/平米')
('https://image1.ljcdn.com/440100-inspection/b03b53cb-8e85-4b07-93de-b3d1e014f71b.jpg.296x216.jpg', '富力千禧花园 电梯两房 方正实用', '富力千禧花园  | 2室2厅 | 72平米 | 西北 | 简装 | 有电梯', '低楼层(共26层)2002年建塔楼  -  新港西', '385万', '单价53473元/平米')
('https://image1.ljcdn.com/440100-inspection/979e9baa-e52d-42d0-b819-b3baa27115cf.jpg.296x216.jpg', '南晓苑 中层精致三房 新净小区', '南晓苑  | 3室2厅 | 115.42平米 | 南 北 | 精装 | 无电梯', '中楼层(共9层)1998年建塔楼  -  新港西', '320万', '单价27725元/平米')
('https://image1.ljcdn.com/440100-inspection/5fbf2315-ac48-4d04-895a-a6b4d3ee54f0.jpg.296x216.jpg', '江南雅居 电梯三房  视野宽阔 配套成熟', '江南雅居  | 3室1厅 | 118.55平米 | 南 | 简装 | 有电梯', '中楼层(共27层)1995年建塔楼  -  昌岗', '523万', '单价44117元/平米')
('https://image1.ljcdn.com/440100-inspection/2f8d9064-8ef3-44eb-b44b-674233d20f81.jpg.296x216.jpg', '金碧花园第三金碧 3室2厅 540万', '金碧花园第三金碧  | 3室2厅 | 115.78平米 | 东南 | 精装 | 有电梯', '中楼层(共32层)2000年建塔楼  -  金碧', '540万', '单价46641元/平米')
('https://image1.ljcdn.com/440100-inspection/6aef3e9e-3133-461b-84ee-6d35b4bb8008.jpg.296x216.jpg', '南洲花苑公安宿舍实用大两房 采光好 带赏月天台', '南洲花苑公安宿舍  | 2室2厅 | 80.84平米 | 西南 | 简装 | 无电梯', '高楼层(共7层)1993年建塔楼  -  金碧', '260万', '单价32163元/平米')
('https://image1.ljcdn.com/440100-inspection/788bf3e4-7d76-44ec-a1bd-d3850dc5f142.jpg.296x216.jpg', '江南新苑 中层两房 阳台视野开阔 交通方便', '江南新苑  | 2室1厅 | 81.06平米 | 北 | 简装 | 有电梯', '中楼层(共32层)2002年建塔楼  -  新港西', '450万', '单价55515元/平米')
('https://image1.ljcdn.com/440100-inspection/404de795-722d-4ec0-85e3-ea1da6c2a34b.jpg.296x216.jpg', '晓港湾 漾日云天 温馨三房', '晓港湾漾日云天  | 3室2厅 | 99.49平米 | 东南 | 精装 | 有电梯', '高楼层(共31层)2004年建塔楼  -  金碧', '390万', '单价39200元/平米')
('https://image1.ljcdn.com/440100-inspection/8987107c-2c8a-48c7-9911-7b456a67f62d.jpg.296x216.jpg', '鸿新苑 1房一厅 实用舒适单位', '鸿新苑  | 1室1厅 | 45.09平米 | 南 北 | 简装 | 无电梯', '中楼层(共9层)1999年建塔楼  -  新港西', '143万', '单价31715元/平米')
('https://image1.ljcdn.com/440100-inspection/ddeeabb2-bcee-4aa3-aeb3-212a53253eab.jpg.296x216.jpg', '珠江广场  南向两房  温馨舒适', '珠江广场  | 2室1厅 | 81.82平米 | 南 | 简装 | 有电梯', '中楼层(共17层)2000年建塔楼  -  滨江东', '380万', '单价46444元/平米')
